"Month","Chrome","Safari","Firefox","Edge","IE","Opera","Edge Legacy","360 Safe Browser","Yandex Browser","Mozilla","QQ Browser","Coc Coc","UC Browser","Sogou Explorer","Chromium","Whale Browser","Maxthon","Pale Moon","Vivaldi","Waterfox","Other"
2019-10,68.91,8.68,9.25,0,4.45,2.28,4.51,0.03,0.46,0.11,0.2,0.24,0.31,0.13,0.17,0.06,0.08,0.03,0.05,0.01,0.04
2019-11,68.85,9.18,9.44,0,3.66,2.34,4.58,0.03,0.49,0.17,0.16,0.25,0.3,0.11,0.18,0.07,0.08,0.02,0.05,0.01,0.03
2019-12,68.84,9.03,9.44,0,3.56,2.49,4.6,0.05,0.53,0.16,0.17,0.3,0.28,0.12,0.18,0.07,0.08,0.02,0.05,0.01,0.03
2020-01,68.78,8.64,9.87,0.02,3.7,2.49,4.7,0.04,0.47,0.18,0.15,0.19,0.25,0.1,0.18,0.06,0.07,0.02,0.03,0.01,0.04
2020-02,69.25,8.53,9.53,0.28,3.56,2.34,4.62,0.05,0.48,0.19,0.17,0.24,0.23,0.12,0.17,0.07,0.07,0.02,0.02,0.01,0.04
2020-03,68.11,8.93,9.25,0.57,3.77,2.37,4.56,0.62,0.46,0.2,0.17,0.25,0.21,0.12,0.14,0.08,0.08,0.02,0.02,0.01,0.04
2020-04,67.15,9.7,9.18,1.01,3.26,2.37,4.86,0.69,0.47,0.23,0.2,0.2,0.2,0.15,0.09,0.09,0.08,0.02,0.02,0.01,0.03
2020-05,68.33,9.4,8.91,1.24,3,2.41,4.41,0.65,0.44,0.21,0.17,0.19,0.18,0.13,0.1,0.08,0.07,0.02,0.02,0.01,0.03
2020-06,69.42,8.74,8.48,2.37,2.88,2.39,3.45,0.64,0.44,0.18,0.16,0.21,0.17,0.13,0.11,0.1,0.07,0.02,0.01,0.01,0.02
2020-07,69.55,8.36,8.61,4.12,2.76,2.43,1.93,0.65,0.42,0.18,0.18,0.22,0.14,0.13,0.1,0.09,0.07,0.02,0.01,0.01,0.03
2020-08,69.87,8.27,8.34,5.02,2.61,2.4,1.3,0.66,0.41,0.18,0.17,0.22,0.13,0.12,0.07,0.09,0.07,0.02,0.01,0.01,0.03
2020-09,69.71,8.73,8.15,5.54,2.51,2.3,0.94,0.66,0.4,0.18,0.16,0.2,0.11,0.12,0.06,0.1,0.07,0.01,0.01,0.01,0.03
2020-10,70.33,8.87,7.69,5.83,2.15,2.43,0.77,0.59,0.4,0.16,0.15,0.17,0.09,0.11,0.05,0.09,0.07,0.01,0.01,0.01,0.02
2020-11,67.71,9.83,7.95,6.82,2.55,2.46,0.69,0.67,0.39,0.2,0.19,0.06,0.1,0.12,0.04,0.09,0.06,0.02,0.01,0.01,0.03
2020-12,65.96,10.43,8.39,7.43,2.54,2.59,0.57,0.68,0.44,0.21,0.18,0.08,0.11,0.12,0.04,0.1,0.06,0.02,0.01,0.01,0.03
2021-01,66.59,10.38,8.1,7.81,1.94,2.64,0.52,0.65,0.43,0.21,0.19,0.07,0.1,0.11,0.04,0.09,0.06,0.02,0.01,0.01,0.03
2021-02,66.47,10.27,8.17,8.01,1.89,2.68,0.48,0.68,0.41,0.19,0.2,0.08,0.1,0.11,0.04,0.09,0.07,0.02,0,0.01,0.03
2021-03,67.14,10.11,7.95,8.03,1.7,2.61,0.44,0.71,0.39,0.19,0.18,0.08,0.09,0.12,0.04,0.09,0.07,0.01,0,0.01,0.03
2021-04,67.55,9.85,7.78,7.96,1.67,2.65,0.36,0.74,0.38,0.22,0.21,0.09,0.1,0.13,0.04,0.1,0.07,0.02,0,0.01,0.08
2021-05,68.32,9.77,7.36,8.02,1.48,2.61,0.32,0.7,0.38,0.2,0.27,0.09,0.07,0.13,0.04,0.11,0.06,0.02,0,0.01,0.04
2021-06,68.76,9.7,7.17,8.1,1.45,2.47,0.29,0.71,0.38,0.18,0.23,0.11,0.08,0.14,0.04,0.1,0.06,0.01,0,0.01,0.02
2021-07,68.5,9.5,7.64,8.22,1.37,2.48,0.25,0.69,0.36,0.19,0.23,0.11,0.08,0.13,0.03,0.1,0.06,0.01,0,0.01,0.03
2021-08,66.97,9.97,8.07,8.84,1.43,2.45,0.24,0.67,0.36,0.19,0.21,0.12,0.08,0.13,0.03,0.1,0.06,0.01,0,0.01,0.02
2021-09,67.56,9.67,7.93,8.75,1.32,2.57,0.24,0.68,0.35,0.18,0.2,0.13,0.07,0.11,0.03,0.1,0.04,0.01,0,0.01,0.03
2021-10,67.17,9.63,7.87,9.14,1.15,2.89,0.19,0.72,0.35,0.18,0.2,0.1,0.06,0.12,0.03,0.1,0.04,0.01,0,0.01,0.04
